,strain,pathway,genus,phylum,class,order,family,BUT,PRO
675,Lactobacillus crispatus,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
676,Lactobacillus curvatus,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
677,Lactobacillus delbrueckii,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
678,Lactobacillus farciminis,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
679,Lactobacillus fermentum,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
680,Lactobacillus gasseri,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
681,Lactobacillus gastricus,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
682,Lactobacillus helveticus,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
683,Lactobacillus iners,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
684,Lactobacillus jensenii,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
685,Lactobacillus johnsonii,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
686,Lactobacillus kalixensis,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
687,Lactobacillus mindensis,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
688,Lactobacillus mucosae,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
689,Lactobacillus oris,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
690,Lactobacillus parabuchneri,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
691,Lactobacillus paracasei,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
692,Lactobacillus pentosus,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
693,Lactobacillus plantarum,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
694,Lactobacillus reuteri,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
695,Lactobacillus rhamnosus,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
696,Lactobacillus salivarius,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
697,Lactobacillus sanfranciscensis,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
698,Lactobacillus saniviri,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
699,Lactobacillus senioris,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
700,Lactobacillus sharpeae,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
701,Lactobacillus ultunensis,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
702,Lactobacillus vaginalis,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
703,Lactobacillus xiangfangensis,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
704,Lactobacillus-ruminis-ATCC-25644-MAF-2,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
705,Lactococcus garvieae,,Lactococcus,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,0,0
706,Lactococcus plantarum,,Lactococcus,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,0,0
707,Lactococcus raffinolactis,,Lactococcus,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,0,0
708,Lactococcus-lactis-IL1403-MAF-2,,Lactococcus,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,0,0
709,Lactonifactor longoviformis,,Lactonifactor,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
710,Laribacter hongkongensis,,Laribacter,Pseudomonadota,Betaproteobacteria,Neisseriales,Aquaspirillaceae,0,0
711,Lautropia mirabilis,,Lautropia,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,0,0
712,Leminorella grimontii,,Leminorella,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Budviciaceae,0,0
713,Leminorella richardii,,Leminorella,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Budviciaceae,0,0
714,Leptotrichia amnionii,,Leptotrichia,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,0,0
715,Leptotrichia buccalis,,Leptotrichia,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,0,0
716,Leucobacter aridicollis,,Leucobacter,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
717,Leuconostoc citreum,,Leuconostoc,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
718,Leuconostoc gelidum,,Leuconostoc,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
719,Leuconostoc lactis,,Leuconostoc,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
720,Leuconostoc mesenteroides,,Leuconostoc,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
721,Leuconostoc pseudomesenteroides,,Leuconostoc,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
722,Listeria marthii,,Listeria,Bacillota,Bacilli,Bacillales,Listeriaceae,0,0
723,Lysinibacillus fusiformis,,Lysinibacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
724,Lysinibacillus massiliensis,,Lysinibacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
725,Lysinibacillus sphaericus,,Lysinibacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
726,Lysobacter soli,,Lysobacter,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,0,0
727,Macrococcus caseolyticus,,Macrococcus,Bacillota,Bacilli,Bacillales,Staphylococcaceae,0,0
728,Mannheimia granulomatis,,Mannheimia,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,0,0
729,Marvinbryantia-formatexigens-DSM-14469-MAF-2,,Marvinbryantia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
730,Massilia aurea,,Massilia,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,0,0
731,Megamonas funiformis,SP,Megamonas,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,0,1
732,Megamonas hypermegale,SP,Megamonas,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,0,1
733,Megasphaera elsdenii,Acr,Megasphaera,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,0,1
734,Megasphaera elsdenii 14 14 MAF 2,Acr,Megasphaera,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,0,1
735,Megasphaera elsdenii 14 14 MAF 2,Ace,Megasphaera,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,1,0
736,Megasphaera-elsdenii-14-14-MAF-2,,Megasphaera,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,0,0
737,Mesorhizobium jarvisii,,Mesorhizobium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,0,0
738,Mesorhizobium loti,,Mesorhizobium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,0,0
739,Methylobacterium adhaesivum,,Methylobacterium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,0,0
740,Methylobacterium aminovorans,,Methylobacterium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,0,0
741,Methylobacterium brachiatum,,Methylobacterium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,0,0
742,Methylobacterium jeotgali,,Methylobacterium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,0,0
743,Methylobacterium mesophilicum,,Methylobacterium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,0,0
744,Methylobacterium oryzae,,Methylobacterium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,0,0
745,Methylobacterium phyllosphaerae,,Methylobacterium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,0,0
746,Methylobacterium populi,,Methylobacterium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,0,0
747,Methylobacterium radiotolerans,,Methylobacterium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,0,0
748,Methylobacterium zatmanii,,Methylobacterium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,0,0
749,Methyloversatilis discipulorum,,Methyloversatilis,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,0,0
750,Methyloversatilis universalis,,Methyloversatilis,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,0,0
751,Microbacterium aurum,,Microbacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
752,Microbacterium chocolatum,,Microbacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
753,Microbacterium foliorum,,Microbacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
754,Microbacterium ginsengisoli,,Microbacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
755,Microbacterium gubbeenense,,Microbacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
756,Microbacterium hydrocarbonoxydans,,Microbacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
757,Microbacterium lacticum,,Microbacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
758,Microbacterium mitrae,,Microbacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
759,Microbacterium oleivorans,,Microbacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
760,Microbacterium paraoxydans,,Microbacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
761,Microbacterium phyllosphaerae,,Microbacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
762,Microbacterium schleiferi,Ace,Microbacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,1,0
763,Microbacterium testaceum,,Microbacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
764,Micrococcus cohnii,,Micrococcus,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
765,Micrococcus endophyticus,,Micrococcus,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
766,Micrococcus luteus,,Micrococcus,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
767,Micrococcus lylae,,Micrococcus,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
768,Microlunatus phosphovorus,,Microlunatus,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,0,0
769,Micromonospora aurantiaca,,Micromonospora,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,0,0
770,Microvirga aerophila,,Microvirga,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,0,0
771,Microvirga massiliensis,,Microvirga,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,0,0
772,Microvirgula aerodenitrificans,,Microvirgula,Pseudomonadota,Betaproteobacteria,Neisseriales,Aquaspirillaceae,0,0
773,Mitsuokella jalaludinii,,Mitsuokella,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,0,0
774,Mitsuokella-multacida-DSM-20544-MAF-2,,Mitsuokella,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,0,0
775,Mobiluncus curtisii,,Mobiluncus,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,0,0
776,Moellerella wisconsensis,,Moellerella,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,0,0
777,Mogibacterium diversum,,Mogibacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,0,0
778,Mogibacterium pumilum,,Mogibacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,0,0
779,Mogibacterium timidum,,Mogibacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,0,0
780,Moraxella catarrhalis,,Moraxella,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,0,0
781,Moraxella osloensis,,Moraxella,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,0,0
782,Morganella morganii,,Morganella,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,0,0
783,Murimonas intestini,,Murimonas,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
784,Mycobacterium abscessus,,Mycobacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,0,0
785,Mycobacterium aubagnense,,Mycobacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,0,0
786,Mycobacterium avium,,Mycobacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,0,0
787,Mycobacterium florentinum,,Mycobacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,0,0
788,Mycobacterium fortuitum,,Mycobacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,0,0
789,Mycoplasma pneumoniae,,Mycoplasma,Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,0,0
790,Negativicoccus succinicivorans,SP,Negativicoccus,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,0,1
791,Neisseria cinerea,,Neisseria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,0,0
792,Neisseria elongata,,Neisseria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,0,0
793,Neisseria flavescens,,Neisseria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,0,0
794,Neisseria macacae,,Neisseria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,0,0
795,Neisseria mucosa,,Neisseria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,0,0
796,Neisseria sicca,,Neisseria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,0,0
797,Neisseria subflava,,Neisseria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,0,0
798,Nevskia ramosa,,Nevskia,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,0,0
799,Nitriliruptor alkaliphilus,,Nitriliruptor,Actinomycetota,Nitriliruptoria,Nitriliruptorales,Nitriliruptoraceae,0,0
800,Novosphingobium capsulatum,,Novosphingobium,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,0,0
801,Obesumbacterium proteus,,Obesumbacterium,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,0,0
802,Oceanobacillus caeni,,Oceanobacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
803,Oceanobacillus massiliensis,,Oceanobacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
804,Ochrobactrum anthropi,,Ochrobactrum,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,0,0
805,Ochrobactrum cytisi,,Ochrobactrum,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,0,0
806,Ochrobactrum intermedium,,Ochrobactrum,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,0,0
807,Odoribacter laneus,SP,Odoribacter,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,0,1
808,Odoribacter laneus,Lys,Odoribacter,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,1,0
809,Odoribacter splanchnicus,SP,Odoribacter,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,0,1
810,Odoribacter splanchnicus,Lys,Odoribacter,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,1,0
811,Olsenella profusa,,Olsenella,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,0,0
812,Olsenella scatoligenes,,Olsenella,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,0,0
813,Olsenella uli,,Olsenella,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,0,0
814,Oribacterium sinus,,Oribacterium,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
815,Ornithobacterium rhinotracheale,,Ornithobacterium,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,0,0
816,Oscillibacter valericigenes,Ace,Oscillibacter,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,1,0
817,Oxalobacter formigenes,,Oxalobacter,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,0,0
818,Paenibacillus alvei,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
819,Paenibacillus antibioticophila,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
820,Paenibacillus barcinonensis,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
821,Paenibacillus barengoltzii,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
822,Paenibacillus daejeonensis,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
823,Paenibacillus durus,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
824,Paenibacillus glucanolyticus,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
825,Paenibacillus graminis,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
826,Paenibacillus illinoisensis,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
827,Paenibacillus lactis,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
828,Paenibacillus lautus,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
829,Paenibacillus rhizosphaerae,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
830,Paenibacillus senegalensis,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
831,Paenibacillus thiaminolyticus,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
832,Paenibacillus timonensis,,Paenibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
833,Pantoea agglomerans,,Pantoea,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,0,0
834,Pantoea rodasii,,Pantoea,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,0,0
835,Papillibacter cinnamivorans,Acr,Papillibacter,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,0,1
836,Papillibacter cinnamivorans,Ace,Papillibacter,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,1,0
837,Parabacteroides distasonis,SP,Parabacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,0,1
838,Parabacteroides faecis,SP,Parabacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,0,1
839,Parabacteroides goldsteinii,SP,Parabacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,0,1
840,Parabacteroides gordonii,SP,Parabacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,0,1
841,Parabacteroides johnsonii DSM 18315 MAF 2,SP,Parabacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,0,1
842,Parabacteroides merdae ATCC 43184 MAF 2,SP,Parabacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,0,1
843,Parabacteroides sp D13 MAF 2,SP,Parabacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,0,1
844,Parabacteroides-johnsonii-DSM-18315-MAF-2,,Parabacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,0,0
845,Parabacteroides-merdae-ATCC-43184-MAF-2,,Parabacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,0,0
846,Parabacteroides-sp-D13-MAF-2,,Parabacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,0,0
847,Paraburkholderia fungorum,,Paraburkholderia,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,0,0
848,Paracoccus haeundaensis,,Paracoccus,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,0,0
849,Paracoccus marinus,,Paracoccus,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,0,0
850,Paracoccus sphaerophysae,,Paracoccus,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,0,0
851,Paracoccus yeei,,Paracoccus,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,0,0
852,Paraeggerthella hongkongensis,,Paraeggerthella,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,0,0
853,Paraprevotella clara,SP,Paraprevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,0,1
854,Paraprevotella xylaniphila,SP,Paraprevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,0,1
855,Parasporobacterium paucivorans,Ace,Parasporobacterium,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
856,Parasutterella excrementihominis,,Parasutterella,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sutterellaceae,0,0
857,Parasutterella secunda,,Parasutterella,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sutterellaceae,0,0
858,Parvimonas micra,,Parvimonas,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,0,0
859,Pediococcus acidilactici,Pro,Pediococcus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,1
860,Pediococcus damnosus,,Pediococcus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
861,Pediococcus pentosaceus,,Pediococcus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
862,Pelomonas puraquae,,Pelomonas,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,0,0
863,Pelomonas saccharophila,,Pelomonas,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,0,0
864,Peptococcus niger,Ace,Peptococcus,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,1,0
865,Peptoniphilus asaccharolyticus,Glu,Peptoniphilus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
866,Peptoniphilus duerdenii,Ace,Peptoniphilus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
867,Peptoniphilus grossensis,Glu,Peptoniphilus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
868,Peptoniphilus harei,Glu,Peptoniphilus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
869,Peptoniphilus indolicus,Acr,Peptoniphilus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,0,1
870,Peptoniphilus indolicus,Glu,Peptoniphilus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
871,Peptoniphilus lacrimalis,Glu,Peptoniphilus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
872,Peptoniphilus senegalensis,Glu,Peptoniphilus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
873,Peptoniphilus timonensis,Glu,Peptoniphilus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
874,Peptostreptococcus anaerobius,Acr,Peptostreptococcus,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,0,1
875,Phascolarctobacterium faecium,SP,Phascolarctobacterium,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,0,1
876,Phascolarctobacterium succinatutens,SP,Phascolarctobacterium,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,0,1
877,Phenylobacterium haematophilum,,Phenylobacterium,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,0,0
878,Phocaeicola vulgatus,SP,Phocaeicola,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
879,Phyllobacterium myrsinacearum,,Phyllobacterium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,0,0
880,Planococcus okeanokoites,Ace,Planococcus,Bacillota,Bacilli,Bacillales,Planococcaceae,1,0
881,Planococcus rifietoensis,Ace,Planococcus,Bacillota,Bacilli,Bacillales,Planococcaceae,1,0
882,Planomicrobium chinense,Ace,Planomicrobium,Bacillota,Bacilli,Bacillales,Planococcaceae,1,0
883,Plesiomonas shigelloides,,Plesiomonas,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
884,Porphyromonas asaccharolytica,Lys,Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,1,0
885,Porphyromonas asaccharolytica,SP,Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,0,1
886,Porphyromonas bennonis,,Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,0,0
887,Porphyromonas endodontalis,Lys,Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,1,0
888,Porphyromonas endodontalis,SP,Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,0,1
889,Porphyromonas gingivalis,Lys,Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,1,0
890,Porphyromonas gingivalis,SP,Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,0,1
891,Porphyromonas somerae,Lys,Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,1,0
892,Porphyromonas uenonis,SP,Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,0,1
893,Porphyromonas uenonis,Lys,Porphyromonas,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,1,0
894,Prevotella albensis,,Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,0,0
895,Prevotella amniotica,,Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,0,0
896,Prevotella baroniae,,Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,0,0
897,Prevotella bergensis,,Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,0,0
898,Prevotella bivia,,Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,0,0
899,Prevotella brevis,SP,Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,0,1
900,Prevotella bryantii,,Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,0,0
901,Prevotella buccae,,Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,0,0
902,Prevotella conceptionensis,,Prevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,0,0
